Company Name,Item Name,Old Price,Special Price,Weight 
 Giggsmeat,(Boneless) Premium Chicken Thigh, ,₹290.00, 1 kg
 FreshToHome, ,₹299.00,₹198.00, /500g
 Giggsmeat,Stock) Soup (for Bones Chicken / Broth, ,₹210.00, 500g
 FreshToHome, ,₹125.00,₹44.00, /500g
 Giggsmeat,(250g Thin Boneless Chicken Pack) Steaks Premium, ,₹290.00, 1 kg
 FreshToHome, ,₹225.00,₹135.00, /pack
 Giggsmeat,Whole Curry Leg (300g Chicken / to Pack) Thigh 320g Premium Cut -, ,₹190.00, 500g
 FreshToHome, ,₹178.00,₹144.00, /pack
 Giggsmeat,Boneless (300g Chicken Pack) Cubes Premium Tikka, ,₹185.00, 500g
 FreshToHome, ,₹225.00,₹159.00, /pack
 Giggsmeat,Boneless 400g Chicken Pack) to Thigh (380g Premium, ,₹350.00, 500 g
 FreshToHome, ,₹299.00,₹209.00, /pack
 Giggsmeat,Whole Chicken (Skinless) Uncut Premium -, ,₹250.00, 500g
 FreshToHome, ,₹219.00,₹144.00, /500g
 Giggsmeat,with Skin of Chicken (Pack 6) Drumsticks Premium, ,₹185.00, 500g
 FreshToHome, ,₹398.00,₹299.00, /pack
